flareClass,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
N/A,96.601,2480700000.0,6.115019e+21,2123404000000.0,13.088,1311918000000.0,1.91846e+21,44.649269,-504.78,1498.383,0.0,-0.386,4.328
N/A,442.617,8718800000.0,3.363413e+22,10609310000000.0,36.536,2491355000000.0,4.960262e+21,363.383179,325.94,2758.529,3.049,0.0709,17.373
N/A,82.734,1684600000.0,6.677898e+21,1768995000000.0,1.979,263251300000.0,8.857429e+20,55.810982,182.04,3084.89,0.0,0.205,27.178
N/A,205.114,7765300000.0,8.171421e+22,3016021000000.0,24.626,390780800000.0,3.939476e+21,124.383873,-979.23,10781.45,3.492,-0.2392,43.122
M,4742.546,87712000000.0,8.98513e+23,97078670000000.0,33.504,11402010000000.0,7.940937e+22,2743.764404,-15931.0,5321.321,4.653,-0.3445,20.967
N/A,753.971,20151000000.0,2.28575e+23,12995520000000.0,19.774,536376400000.0,1.603198e+22,526.675354,-2989.1,7804.916,4.118,-0.2814,27.662
M,4610.35,65834000000.0,1.153973e+24,85225020000000.0,840.268,33783060000000.0,4.417299e+22,2347.197998,-3059.0,12408.1,4.914,-0.0881,49.984
N/A,233.638,6764900000.0,7.774691e+22,4832442000000.0,57.01,3553059000000.0,4.088826e+21,120.971947,-599.5,9604.986,3.623,-0.1681,39.147
X,3343.26,60088000000.0,9.037369e+23,64127380000000.0,214.418,3445997000000.0,3.969914e+22,2644.980469,-4468.5,11866.6,4.47,-0.1411,38.608
X,1589.326,0.0,2.196074e+23,30284150000000.0,378.065,9130404000000.0,2.894466e+22,534.301331,0.0,3629.849,4.146,0.0,12.268
N/A,131.918,2062600000.0,8.171128e+21,2984768000000.0,14.61,621461900000.0,1.541541e+21,228.044434,-217.77,2184.926,2.629,-0.2003,17.081
N/A,646.052,11077000000.0,8.074194e+22,13084050000000.0,15.947,929057500000.0,9.630988e+21,346.169769,-1694.7,4157.67,3.883,-0.2902,15.175
N/A,74.388,933180000.0,5.33718e+21,1277594000000.0,16.914,527937500000.0,9.5257e+20,32.790195,-214.99,3026.226,0.0,-0.437,4.593
M,872.268,0.0,2.601383e+23,15339860000000.0,112.879,8089596000000.0,2.040742e+22,636.520081,0.0,6302.673,4.484,0.0,21.915
M,597.113,0.0,2.009344e+23,10008480000000.0,131.492,3617543000000.0,9.276768e+21,706.56073,0.0,10207.87,4.61,0.0,33.315
X,1583.266,0.0,2.217477e+23,29977910000000.0,394.163,10682270000000.0,2.886155e+22,532.647583,0.0,3688.953,4.173,0.0,12.502
N/A,224.576,0.0,2.404863e+22,3732749000000.0,57.547,2118338000000.0,5.007967e+21,74.275505,0.0,2726.744,2.344,0.0,6.55
N/A,244.411,12487000000.0,1.028693e+23,4941625000000.0,49.842,1885433000000.0,6.043716e+21,170.332199,-1741.9,8801.184,3.57,-0.2646,34.837
M,60.493,4851000000.0,3.210231e+21,1306587000000.0,0.064,281891000000.0,2.067699e+21,25.777113,-958.66,728.091,0.0,-0.3749,0.0
M,2209.642,0.0,4.547984e+23,38900150000000.0,521.559,20260060000000.0,4.927924e+22,956.507507,0.0,4784.458,4.437,0.0,16.86
N/A,170.17,3495300000.0,1.205444e+22,3822559000000.0,2.664,1131640000000.0,3.17857e+21,85.802734,-743.11,1745.21,0.0,-0.4033,3.884
M,3731.12,55106000000.0,5.809134e+23,74333580000000.0,29.619,7169141000000.0,4.505237e+22,2281.43457,-6161.1,6564.917,4.586,-0.2121,24.058
N/A,124.766,2043500000.0,7.420364e+21,2580000000000.0,4.923,186221600000.0,1.541823e+21,98.879776,-60.045,2322.292,0.0,-0.0557,8.271
X,3397.617,60041000000.0,9.019351e+23,65591000000000.0,215.461,2529252000000.0,3.986651e+22,2625.524902,-4406.1,11562.68,4.539,-0.1392,38.836
N/A,366.5,0.0,6.15267e+22,5095520000000.0,24.114,1769825000000.0,4.762104e+21,170.579941,0.0,7161.666,4.312,0.0,26.743
N/A,443.623,9042500000.0,3.53428e+22,10425150000000.0,27.98,2517501000000.0,5.018553e+21,369.309875,392.11,2871.768,3.118,0.0823,18.971
M,2294.936,0.0,3.908819e+23,37274030000000.0,96.916,4175832000000.0,4.923787e+22,2121.86377,0.0,4714.544,4.66,0.0,10.721
N/A,22.711,1781300000.0,1.492392e+21,412484000000.0,1.418,124122000000.0,3.875735e+20,38.924534,-130.89,2212.11,0.0,-0.1394,0.197
N/A,1674.811,29437000000.0,1.946493e+23,35892010000000.0,73.603,3815752000000.0,2.450701e+22,1454.050903,-1983.3,3813.807,3.196,-0.1278,12.901
N/A,1922.543,48144000000.0,1.5516e+23,38953250000000.0,105.504,2624906000000.0,4.271723e+22,841.931946,-9669.9,1860.761,3.785,-0.381,3.246
X,1582.904,0.0,2.207874e+23,29918580000000.0,400.255,11038590000000.0,2.891762e+22,536.031738,0.0,3678.179,4.115,0.0,12.436
M,5373.84,62428000000.0,8.559905e+23,100212400000000.0,436.514,5451645000000.0,5.246975e+22,3904.562744,-5293.3,7293.264,4.996,-0.1608,29.231
N/A,1429.607,23220000000.0,3.046465e+23,28605470000000.0,233.581,4687468000000.0,1.625887e+22,671.55304,-1560.2,9162.603,4.559,-0.1275,36.555
M,2298.752,0.0,3.823321e+23,37609410000000.0,85.324,2981399000000.0,4.919749e+22,2123.40625,0.0,4602.943,4.681,0.0,10.287
N/A,393.943,0.0,7.912581e+22,5711853000000.0,6.191,260837400000.0,7.904446e+21,155.563202,0.0,5100.649,3.636,0.0,16.591
X,1617.363,0.0,2.279901e+23,30645690000000.0,407.789,11878700000000.0,2.83848e+22,544.570312,0.0,3934.94,4.183,0.0,13.255
N/A,801.697,11913000000.0,7.225802e+22,16750860000000.0,170.294,6503991000000.0,8.708742e+21,752.06134,-739.91,3612.119,4.041,-0.1178,19.863
N/A,79.67,4342200000.0,4.852446e+21,1977437000000.0,14.302,1210135000000.0,1.706551e+21,42.018181,-663.08,1225.706,1.836,-0.2897,1.778
M,3419.045,41240000000.0,5.164069e+23,66716080000000.0,929.363,39570880000000.0,2.99551e+22,1757.18042,-2113.4,7562.184,4.759,-0.0972,36.739
X,1617.363,0.0,2.279901e+23,30645690000000.0,407.789,11878700000000.0,2.83848e+22,544.570312,0.0,3934.94,4.183,0.0,13.255
M,3477.083,41345000000.0,5.260814e+23,68093780000000.0,931.931,41998300000000.0,3.052626e+22,1775.775391,-2310.0,7618.516,4.771,-0.106,36.38
X,1627.122,0.0,2.165044e+23,29919480000000.0,403.0,10781220000000.0,2.861011e+22,535.171204,0.0,3766.838,4.197,0.0,12.667
N/A,328.391,11214000000.0,1.553793e+23,6673794000000.0,82.882,1409108000000.0,6.162614e+21,219.144897,-690.16,12983.97,3.695,-0.1167,43.869
X,1590.15,0.0,2.217096e+23,30247370000000.0,412.592,11394120000000.0,2.908158e+22,530.359802,0.0,3659.055,4.088,0.0,12.717
N/A,305.043,12226000000.0,1.863089e+22,7435426000000.0,48.072,3388813000000.0,7.582427e+21,180.842346,-3040.1,1035.031,0.0,-0.4717,0.745
N/A,35.398,495850000.0,1.861349e+21,611370500000.0,1.345,229054100000.0,3.120585e+20,33.957401,-32.054,3121.538,1.425,-0.1226,2.673
X,1590.15,0.0,2.217096e+23,30247370000000.0,412.592,11394120000000.0,2.908158e+22,530.359802,0.0,3659.055,4.088,0.0,12.717
M,4625.426,65557000000.0,1.156963e+24,85239000000000.0,885.429,37654060000000.0,4.403174e+22,2350.859619,-2755.7,12286.37,4.974,-0.0797,50.037
M,3114.544,33902000000.0,5.686107e+23,57973410000000.0,65.282,5207265000000.0,2.330758e+22,1594.618652,-667.54,9946.947,4.897,-0.0374,48.443
M,4839.046,67283000000.0,1.05939e+24,78736430000000.0,742.434,18183260000000.0,4.974289e+22,1864.322266,-6704.2,11543.06,5.113,-0.189,35.222
N/A,44.312,1321600000.0,1.291421e+21,1002062000000.0,3.454,274733900000.0,5.024102e+20,114.547821,81.548,1086.506,0.0,0.117,5.14
M,3433.78,41219000000.0,5.21752e+23,67964330000000.0,946.574,39796280000000.0,2.98839e+22,1756.266235,-1997.1,7550.156,4.83,-0.0919,36.966
N/A,1647.555,23811000000.0,1.283207e+23,39737180000000.0,167.961,11891180000000.0,2.218186e+22,1302.171509,-2654.6,2456.56,3.476,-0.2115,12.092
X,1627.122,0.0,2.165044e+23,29919480000000.0,403.0,10781220000000.0,2.861011e+22,535.171204,0.0,3766.838,4.197,0.0,12.667
M,4816.138,88475000000.0,9.108956e+23,98147590000000.0,59.809,13480730000000.0,7.871418e+22,2763.324463,-15941.0,5535.9,4.697,-0.3418,21.226
M,3409.231,41162000000.0,5.152023e+23,66604680000000.0,936.292,39528780000000.0,2.976971e+22,1751.734985,-2102.0,7587.782,4.78,-0.0969,36.624
M,618.087,0.0,4.940174e+22,12256850000000.0,140.637,6189876000000.0,1.235203e+22,241.993164,0.0,1916.085,3.568,0.0,4.404
N/A,175.139,2660800000.0,1.201221e+22,3342292000000.0,23.436,800505100000.0,2.333126e+21,94.826508,-306.11,2771.151,0.0,-0.2182,8.395
N/A,145.038,2639600000.0,1.028413e+22,3078925000000.0,16.863,572407000000.0,2.074844e+21,178.194672,-250.83,2351.598,2.132,-0.1803,3.583
N/A,193.766,0.0,6.387944e+22,3212104000000.0,25.466,138692200000.0,1.678414e+21,718.431946,0.0,14260.42,4.641,0.0,72.487
N/A,946.746,14909000000.0,1.498698e+23,18580200000000.0,272.048,9625597000000.0,1.577357e+22,464.567322,-2751.2,4784.212,4.002,-0.35,20.409
M,4594.19,65726000000.0,1.160142e+24,84635370000000.0,817.872,34324030000000.0,4.407027e+22,2351.246582,-2767.1,12378.09,4.96,-0.0799,50.057
N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.485115,0.0,0.0,0.0,0.0,0.0
N/A,65.722,1565000000.0,9.3053e+21,1250518000000.0,5.301,446046400000.0,9.214862e+20,81.21862,-59.991,5256.389,0.0,-0.0727,9.377
N/A,1110.195,35243000000.0,2.147201e+23,22778980000000.0,213.329,9801332000000.0,2.171912e+22,693.603149,-4096.5,4926.007,3.952,-0.2205,15.547
M,5535.899,62874000000.0,8.678037e+23,103579300000000.0,409.307,7756710000000.0,5.331894e+22,3912.264893,-5405.5,7312.168,5.013,-0.1631,29.231
M,491.768,14570000000.0,2.029595e+23,10405320000000.0,146.883,3850395000000.0,6.947112e+21,645.652466,690.54,13321.64,2.144,0.0899,44.639
N/A,402.716,10518000000.0,1.23716e+23,9321386000000.0,13.846,1191528000000.0,6.929409e+21,282.803833,-726.06,7903.324,3.575,-0.1309,34.759
X,1616.21,0.0,2.259258e+23,30709180000000.0,405.766,12416940000000.0,2.862199e+22,546.245544,0.0,3819.639,4.183,0.0,13.407
M,4683.448,66098000000.0,1.157259e+24,86086040000000.0,901.815,41663590000000.0,4.438924e+22,2350.470703,-3219.2,12486.75,4.945,-0.0924,50.156
M,25.727,0.0,7.231326e+21,644218200000.0,1.548,335626100000.0,1.063649e+21,298.92746,0.0,2572.08,4.575,0.0,27.35
N/A,637.603,14224000000.0,1.244982e+23,13031680000000.0,36.875,1341063000000.0,1.098912e+22,405.456207,-1741.5,5650.043,3.379,-0.2322,19.576
N/A,100.038,1968500000.0,6.318299e+21,2189310000000.0,18.525,960477800000.0,1.120704e+21,198.005081,-78.254,2141.132,2.729,-0.0754,21.557
M,63.099,0.0,1.848282e+22,1387276000000.0,2.442,2262098000000.0,1.573e+21,323.933502,0.0,4754.806,4.673,0.0,33.823
M,3373.924,71454000000.0,4.705719e+23,64058410000000.0,692.009,21640720000000.0,5.646497e+22,1576.175293,-13950.0,4051.899,4.234,-0.3703,8.847
N/A,4398.15,99977000000.0,6.717762e+23,91178670000000.0,33.313,13298710000000.0,5.568528e+22,4321.962891,-11584.0,5679.434,4.163,-0.2198,24.061
N/A,1108.204,34982000000.0,2.138522e+23,22671080000000.0,212.811,10234390000000.0,2.146015e+22,699.18866,-4044.6,5002.42,3.97,-0.2193,15.918
M,643.07,0.0,2.173016e+23,10445270000000.0,108.494,1777361000000.0,1.056346e+22,711.69519,0.0,10284.43,4.582,0.0,31.339
C,2148.286,44931000000.0,7.790807e+23,48306510000000.0,433.339,15031280000000.0,3.164241e+22,1215.13623,-2791.6,11661.38,4.531,-0.1179,51.044
M,1879.085,36704000000.0,3.043382e+23,36588740000000.0,124.059,11180300000000.0,3.77334e+22,890.877686,-9116.2,4011.671,4.285,-0.4711,14.39
N/A,1168.688,20179000000.0,1.564712e+23,26399390000000.0,75.31,3987381000000.0,1.761864e+22,911.065369,-1730.1,3976.938,3.807,-0.1626,15.905
N/A,335.672,7879400000.0,2.189065e+22,8004954000000.0,6.702,846117500000.0,6.615811e+21,265.156036,-1273.1,1464.537,1.777,-0.3065,2.514
M,2829.139,55794000000.0,8.016188e+23,49495070000000.0,737.806,32305330000000.0,3.022819e+22,2942.576172,-3528.3,15447.83,4.687,-0.12,44.111
X,1614.047,0.0,2.19576e+23,30380700000000.0,406.78,11742610000000.0,2.894803e+22,540.668213,0.0,3669.444,4.148,0.0,12.666
N/A,2180.563,51415000000.0,7.072108e+23,42584320000000.0,207.184,8241102000000.0,4.0775e+22,1285.553833,-7603.2,9567.378,4.482,-0.2805,31.631
N/A,273.433,11199000000.0,1.373725e+22,6640437000000.0,13.769,1307337000000.0,9.11697e+21,86.265259,-3088.3,640.4141,0.0,-0.5231,0.074
M,149.671,9619000000.0,8.731977e+21,2649577000000.0,1.907,902853900000.0,3.027102e+21,137.760117,-1694.5,1723.477,0.0,-0.3342,0.315
M,2277.921,0.0,3.850286e+23,36909870000000.0,87.97,3710806000000.0,4.931203e+22,2113.406494,0.0,4675.097,4.673,0.0,10.172
N/A,59.676,3889900000.0,2.424688e+21,1285403000000.0,13.868,748572200000.0,1.862219e+21,27.907152,-1050.0,650.4307,0.0,-0.512,0.143
N/A,50.964,1678100000.0,3.21397e+21,1223967000000.0,10.788,808222600000.0,8.741846e+20,35.33625,-236.43,1649.677,0.0,-0.2673,3.204
M,4971.544,68534000000.0,1.075659e+24,81045510000000.0,717.836,20371290000000.0,5.073841e+22,1857.954834,-7041.4,11470.36,5.097,-0.1949,34.849
N/A,45.913,893870000.0,2.47214e+21,858065300000.0,11.428,843021900000.0,5.436735e+20,69.843643,-94.996,2491.952,0.0,-0.2016,1.339
N/A,47.871,762400000.0,2.818393e+21,1144735000000.0,2.244,294918600000.0,8.018221e+20,23.764704,-143.83,1541.186,2.391,-0.3579,3.631
N/A,253.076,12050000000.0,9.680985e+22,4202679000000.0,14.007,795702900000.0,4.93707e+21,156.348007,-1242.3,10232.53,3.72,-0.1956,34.194
N/A,27.193,1383900000.0,1.83184e+21,652212400000.0,2.254,109381500000.0,5.107918e+20,24.502874,24.193,1590.948,0.0,0.0332,2.191
M,1875.133,36459000000.0,2.996713e+23,36683410000000.0,96.073,9024598000000.0,3.765082e+22,893.725769,-9121.8,3941.253,4.271,-0.4746,14.094
M,889.32,0.0,2.765342e+23,16947260000000.0,77.511,4937893000000.0,2.084594e+22,637.453613,0.0,6340.834,4.517,0.0,23.253
N/A,84.13,1407000000.0,6.144236e+21,1969641000000.0,21.726,929517700000.0,8.022765e+20,69.733002,45.704,2727.908,2.727,0.0616,31.545
M,3093.298,33604000000.0,5.658269e+23,58168040000000.0,171.372,3185055000000.0,2.326533e+22,1588.669067,-861.8,9894.346,4.841,-0.0486,48.22
M,4665.69,65843000000.0,1.15769e+24,85350910000000.0,869.671,38756090000000.0,4.42213e+22,2360.254639,-2919.3,12426.41,4.957,-0.0841,49.974
M,2374.005,0.0,2.967287e+23,37855900000000.0,60.107,4900289000000.0,2.971178e+22,883.287598,0.0,5753.981,4.755,0.0,17.772
N/A,595.409,11219000000.0,7.523609e+22,10807430000000.0,6.235,2831799000000.0,1.041893e+22,270.240082,-2679.3,3716.333,3.711,-0.453,15.068
N/A,314.732,8236000000.0,1.007032e+23,7483373000000.0,68.823,1181324000000.0,5.002399e+21,349.992249,31.101,9385.838,3.008,0.0072,45.823
N/A,329.487,7865800000.0,2.214784e+22,7879761000000.0,6.08,867571100000.0,6.703039e+21,259.488617,-1296.0,1439.909,0.0,-0.3125,2.271
M,4694.4,66237000000.0,1.159186e+24,85464430000000.0,895.421,41268710000000.0,4.436128e+22,2347.317627,-3322.5,12655.71,4.952,-0.0951,50.15
N/A,359.913,7354300000.0,2.656976e+22,8083217000000.0,0.949,1245733000000.0,6.015545e+21,349.915344,-895.12,1964.714,1.496,-0.2309,5.509
N/A,1508.892,45634000000.0,3.384073e+23,30919100000000.0,63.525,3178697000000.0,3.094726e+22,817.278809,-6934.6,5287.303,4.09,-0.2883,18.701
N/A,539.742,3925600000.0,6.225894e+22,9187864000000.0,152.691,3249966000000.0,2.784955e+21,138.186356,-137.47,9594.792,4.13,-0.0664,44.187
M,3303.868,58299000000.0,1.023338e+24,66680240000000.0,650.533,30424580000000.0,3.728999e+22,1943.317383,-2078.7,13198.82,4.949,-0.0676,46.575
N/A,194.201,4580900000.0,1.274108e+22,4709930000000.0,9.941,630442500000.0,4.588494e+21,178.219925,-755.32,1183.551,0.0,-0.3128,1.48
N/A,63.427,1419500000.0,3.110472e+21,1255655000000.0,17.429,932011800000.0,7.538957e+20,106.536873,-24.285,2043.756,2.256,-0.0325,4.276
N/A,92.689,3440100000.0,3.749712e+22,1672462000000.0,25.81,256943100000.0,1.507728e+21,42.619564,-230.74,13483.69,0.0,-0.1272,58.309
M,776.536,12103000000.0,1.797155e+23,16469010000000.0,268.583,12609430000000.0,8.996272e+21,499.951202,-484.11,8703.586,3.771,-0.0759,40.565
N/A,249.462,6823400000.0,1.345351e+22,5095801000000.0,29.358,1958433000000.0,4.208596e+21,192.748871,-1000.3,1649.35,0.0,-0.2781,1.84
N/A,1000.672,13997000000.0,1.26645e+23,20662500000000.0,66.222,3591180000000.0,1.543758e+22,482.926575,-2867.0,4085.076,4.152,-0.3885,19.016
M,3500.746,41311000000.0,5.260186e+23,68212330000000.0,971.937,45658530000000.0,3.062412e+22,1775.664551,-2412.8,7650.861,4.731,-0.1108,35.942
N/A,242.154,4624600000.0,1.212788e+22,5186768000000.0,8.676,533640800000.0,2.994937e+21,205.730148,-358.48,1917.711,0.0,-0.147,5.859
N/A,276.699,3917600000.0,2.038839e+22,5854179000000.0,0.59,996788900000.0,3.345295e+21,102.62838,-563.29,2840.367,3.142,-0.2727,13.969
M,628.743,0.0,5.648604e+22,12971370000000.0,81.449,3049875000000.0,1.220427e+22,242.628296,0.0,2204.595,3.545,0.0,5.292
N/A,150.592,2417600000.0,9.529376e+21,3646152000000.0,22.365,980643700000.0,2.734857e+21,108.381538,-495.33,1505.559,2.064,-0.3886,3.315
N/A,88.566,1181400000.0,7.856668e+21,1659320000000.0,2.855,347466000000.0,9.174739e+20,63.168571,-100.33,4216.657,0.0,-0.1611,13.685
M,2213.743,26570000000.0,3.826866e+23,42967760000000.0,285.141,12506480000000.0,2.233615e+22,979.044739,-1636.0,7878.119,4.761,-0.1168,33.975
M,783.394,11248000000.0,6.026163e+22,17104950000000.0,8.033,3048347000000.0,8.667108e+21,957.928345,-1283.3,2803.942,3.559,-0.2164,21.708
M,145.068,11704000000.0,1.420476e+22,2696340000000.0,18.794,884034600000.0,3.427512e+21,50.008251,-2074.7,2105.51,3.075,-0.3363,4.37
M,2621.438,45242000000.0,8.245893e+23,55484000000000.0,207.869,9322950000000.0,3.068529e+22,1801.846924,-1377.5,11899.98,4.65,-0.0578,54.436
N/A,511.601,0.0,1.077173e+23,7160090000000.0,150.543,4658366000000.0,7.030054e+21,306.34552,0.0,8486.943,0.0,0.0,29.361
M,4714.45,87693000000.0,9.909533e+23,102439700000000.0,881.043,22594740000000.0,6.455774e+22,3922.283936,-9203.0,7178.764,4.432,-0.1991,28.201
N/A,73.104,2166700000.0,4.584694e+21,1516062000000.0,7.552,539844100000.0,8.026692e+20,28.141644,158.67,2578.203,2.861,0.1389,10.605
N/A,1077.843,34416000000.0,2.108939e+23,22080790000000.0,205.677,9844189000000.0,2.107293e+22,692.244812,-3951.8,5022.148,3.883,-0.2178,16.034
M,4683.448,66098000000.0,1.157259e+24,86086040000000.0,901.815,41663590000000.0,4.438924e+22,2350.470703,-3219.2,12486.75,4.945,-0.0924,50.156
X,2734.528,49250000000.0,3.56392e+23,58579160000000.0,528.413,26544490000000.0,3.541852e+22,2769.3125,-4489.5,4493.161,4.314,-0.1729,21.82
N/A,196.426,0.0,5.306357e+22,2302460000000.0,10.38,217435700000.0,3.018341e+21,92.64785,0.0,9238.423,3.444,0.0,40.208
M,138.504,0.0,1.675675e+22,3273728000000.0,12.087,463147300000.0,5.211675e+21,124.247017,0.0,1401.178,4.042,0.0,8.595
N/A,1607.733,34786000000.0,2.798387e+23,34634730000000.0,23.234,3775957000000.0,2.269387e+22,1983.817871,-2291.9,5773.959,3.616,-0.125,19.811
N/A,288.745,5651800000.0,4.253545e+22,4131522000000.0,23.671,1889588000000.0,4.946069e+21,150.033768,-1069.3,5404.765,3.371,-0.3589,10.614
N/A,277.344,5672100000.0,1.860118e+22,6312370000000.0,12.897,965014100000.0,6.613481e+21,143.475815,-1635.9,1232.636,0.0,-0.5471,1.558
M,4547.817,65747000000.0,1.157797e+24,84763260000000.0,897.272,34454670000000.0,4.410166e+22,2365.128418,-2725.6,12220.61,4.974,-0.0786,50.168
